frame,motion_regime,sequence_se3_optimizer_enabled,visual_residual_enabled,contact_anchor_residual_enabled,depth_residual_enabled,geometry_residual_enabled,velocity_residual_enabled,acceleration_residual_enabled,static_freeze_residual_enabled,boundary_freeze_interpolation_enabled,static_tail_freeze_enabled,trust_weight,smooth_weight,accel_weight,feedback_reoptimized,feedback_reweight_reason,visual_prior_reason,overlay_prior_reason,pose_lock_reason,vlm_pose_refine_disabled,vlm_gate_optimizer_mode,decision_source
1,static_hold,1,1,0,1,1,1,1,1,1,1,0.200000,1.626900,2.323750,1,stage_audit_residual_reweight:machine+vlm,,,,1,lower_trust_propagate,generic_sequence_se3_mainline
2,short_impact,1,1,0,1,1,1,1,1,1,1,0.200000,1.626900,2.323750,1,stage_audit_residual_reweight:machine+vlm,,,,1,lower_trust_propagate,generic_sequence_se3_mainline
3,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.620576,1.278900,1.911250,1,stage_audit_residual_reweight:machine+vlm,,,,0,,generic_sequence_se3_mainline
4,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.620576,1.827000,2.887500,1,stage_audit_residual_reweight:machine+vlm,,,,0,,generic_sequence_se3_mainline
5,static_hold,1,1,1,1,1,1,1,1,1,1,0.564160,2.175000,3.300000,1,stage_audit_residual_reweight:machine+vlm,,,,0,,generic_sequence_se3_mainline
6,static_hold,1,1,1,1,1,1,1,1,1,1,0.564160,2.523000,3.712500,1,stage_audit_residual_reweight:machine+vlm,,,,0,,generic_sequence_se3_mainline
7,static_hold,1,1,1,1,1,1,1,1,1,1,0.564160,2.523000,3.712500,1,stage_audit_residual_reweight:machine+vlm,,,,0,,generic_sequence_se3_mainline
8,static_hold,1,1,1,1,1,1,1,1,1,1,0.564160,2.523000,3.712500,1,stage_audit_residual_reweight:machine+vlm,,,,0,,generic_sequence_se3_mainline
9,static_hold,1,1,1,1,1,1,1,1,1,1,0.564160,2.523000,3.712500,1,stage_audit_residual_reweight:machine+vlm,,,,0,,generic_sequence_se3_mainline
10,static_hold,1,1,1,1,1,1,1,1,1,1,0.564160,2.523000,3.712500,1,stage_audit_residual_reweight:machine+vlm,,,,0,,generic_sequence_se3_mainline
11,static_hold,1,1,1,1,1,1,1,1,1,1,0.564160,2.523000,3.300000,1,stage_audit_residual_reweight:machine+vlm,,,,0,,generic_sequence_se3_mainline
