case_name,stage,frame,query_type,normalized_label,pass_gate,repair_action,used_for_anchor_update,used_for_contact_residual,used_for_report
football,stage0,1,target_mask_check,yes,pass,accept_candidate,0,0,1
football,stage1,1,keypart_identity_check,ball_center,pass,accept_candidate,1,0,1
football,stage1,122,keypart_identity_check,ball_center,pass,accept_candidate,1,0,1
football,stage1,242,keypart_identity_check,ball_center,pass,accept_candidate,1,0,1
football,stage1,1,track_stability_check,stable,pass,accept_candidate,1,0,1
football,stage1,122,track_stability_check,stable,pass,accept_candidate,1,0,1
football,stage1,242,track_stability_check,stable,pass,accept_candidate,1,0,1
football,stage2,2,contact_relation_check,foot_on_ball_boundary,pass,accept_candidate,0,1,1
football,stage2,46,contact_relation_check,foot_on_ball_boundary,pass,accept_candidate,0,1,1
football,stage2,242,contact_relation_check,foot_on_ball_boundary,pass,accept_candidate,0,1,1
football,stage2,1,contact_relation_check,foot_on_ball_boundary,pass,accept_candidate,0,1,1
football,stage2,122,contact_relation_check,foot_on_ball_boundary,pass,accept_candidate,0,1,1
football,stage3,1,overlay_alignment_check,unclear,unclear,unclear_no_update,0,0,1
football,stage3,122,overlay_alignment_check,unclear,unclear,unclear_no_update,0,0,1
football,stage3,242,overlay_alignment_check,unclear,unclear,unclear_no_update,0,0,1
football,stage4,2,anchor_update_check,unclear,unclear,unclear_no_update,0,0,1
football,stage4,46,anchor_update_check,unclear,unclear,unclear_no_update,0,0,1
football,stage4,242,anchor_update_check,unclear,unclear,unclear_no_update,0,0,1
football,stage4,1,anchor_update_check,unclear,unclear,unclear_no_update,0,0,1
football,stage4,122,anchor_update_check,unclear,unclear,unclear_no_update,0,0,1
football,stage4,2,temporal_motion_check,unclear,unclear,unclear_no_update,0,0,1
football,stage4,46,temporal_motion_check,unclear,unclear,unclear_no_update,0,0,1
football,stage4,242,temporal_motion_check,unclear,unclear,unclear_no_update,0,0,1
football,stage4,1,temporal_motion_check,unclear,unclear,unclear_no_update,0,0,1
football,stage4,122,temporal_motion_check,unclear,unclear,unclear_no_update,0,0,1
football,stage5,1,post_render_sanity_check,pass,pass,accept_candidate,0,0,1
football,stage5,122,post_render_sanity_check,pass,pass,accept_candidate,0,0,1
football,stage5,242,post_render_sanity_check,pass,pass,accept_candidate,0,0,1
football,stage6,1,baseline_regression_check,unclear,unclear,unclear_no_update,0,0,1
football,stage6,122,baseline_regression_check,unclear,unclear,unclear_no_update,0,0,1
football,stage6,242,baseline_regression_check,unclear,unclear,unclear_no_update,0,0,1
football,stage7,129,loss_diagnostic_check,visual_spike,reject,mark_for_report_only,0,0,1
football,stage7,127,loss_diagnostic_check,unclear,unclear,unclear_no_update,0,0,1
football,stage7,130,loss_diagnostic_check,visual_spike,reject,mark_for_report_only,0,0,1
football,stage7,1,loss_diagnostic_check,visual_spike,reject,mark_for_report_only,0,0,1
football,stage7,122,loss_diagnostic_check,visual_spike,reject,mark_for_report_only,0,0,1
